Name,Rank,Journal Impact Factor,JIF Quartile,Category Normalized Citation Impact,ISSN,eISSN,Publisher (unified),Eigenfactor,WoS Categories,5 Year Impact Factor,JIF Rank,Publisher (all)
NATURE MACHINE INTELLIGENCE,121,25.898,Q1,3.119083641,n/a,2522-5839,Springer Nature (Unified),0.0109,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",25.912,1/144,NATURE PORTFOLIO
CHEM,122,25.832,Q1,2.360030727,2451-9294,2451-9294,Elsevier (Unified),0.0432,"CHEMISTRY, MULTIDISCIPLINARY",27.362,6/179,CELL PRESS
STUDIES IN MYCOLOGY,123,25.731,Q1,5.088822667,0166-0616,1872-9797,,0.0029,MYCOLOGY,16.949,1/29,CENTRAALBUREAU SCHIMMELCULTURE
PSYCHOTHERAPY AND PSYCHOSOMATICS,124,25.617,Q1,1.747298893,0033-3190,1423-0348,,0.0068,"PSYCHIATRY;PSYCHOLOGY;PSYCHOLOGY, PSYCHOANALYSIS",21.605,2/79,KARGER
BLOOD,125,25.476,Q1,2.43435826,0006-4971,1528-0020,,0.1956,HEMATOLOGY,22.477,2/78,AMER SOC HEMATOLOGY
CELL STEM CELL,126,25.269,Q1,3.080599434,1934-5909,1875-9777,Elsevier (Unified),0.0581,CELL & TISSUE ENGINEERING;CELL BIOLOGY,27.802,1/29,CELL PRESS
ENDOCRINE REVIEWS,127,25.261,Q1,2.476841364,0163-769X,1945-7189,,0.012,ENDOCRINOLOGY & METABOLISM,27.899,4/146,ENDOCRINE SOC
REVIEWS OF GEOPHYSICS,128,24.946,Q1,2.530576923,8755-1209,1944-9208,,0.0123,GEOCHEMISTRY & GEOPHYSICS,30.654,1/87,AMER GEOPHYSICAL UNION
FUNGAL DIVERSITY,129,24.902,Q1,6.103111765,1560-2745,1878-9129,Springer Nature (Unified),0.0045,MYCOLOGY,20.072,2/29,SPRINGER
INTERNATIONAL JOURNAL OF ORAL SCIENCE,130,24.897,Q1,4.899384444,1674-2818,2049-3169,Springer Nature (Unified),0.0041,"DENTISTRY, ORAL SURGERY & MEDICINE",13.721,1/92,SPRINGERNATURE
COORDINATION CHEMISTRY REVIEWS,131,24.833,Q1,1.709391608,0010-8545,1873-3840,Elsevier (Unified),0.0385,"CHEMISTRY, INORGANIC & NUCLEAR",20.65,1/46,ELSEVIER SCIENCE SA
INFOMAT,132,24.798,Q1,2.454750485,n/a,2567-3165,Wiley (Unified),0.0052,"MATERIALS SCIENCE, MULTIDISCIPLINARY",24.798,11/345,WILEY
ADVANCES IN OPTICS AND PHOTONICS,133,24.75,Q1,2.629778571,1943-8206,n/a,,0.0044,OPTICS,23.529,2/101,Optica Publishing Group
TRENDS IN COGNITIVE SCIENCES,134,24.482,Q1,2.724414055,1364-6613,1879-307X,Elsevier (Unified),0.0344,"BEHAVIORAL SCIENCES;NEUROSCIENCES;PSYCHOLOGY, EXPERIMENTAL",25.441,1/90,ELSEVIER SCIENCE LONDON
ACCOUNTS OF CHEMICAL RESEARCH,135,24.466,Q1,1.502032669,0001-4842,1520-4898,,0.0821,"CHEMISTRY, MULTIDISCIPLINARY",24.462,7/179,AMER CHEMICAL SOC
APPLIED CATALYSIS B-ENVIRONMENTAL,136,24.319,Q1,3.050133903,0926-3373,1873-3883,Elsevier (Unified),0.1281,"CHEMISTRY, PHYSICAL;ENGINEERING, CHEMICAL;ENGINEERING, ENVIRONMENTAL",20.744,1/54,ELSEVIER
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,137,24.314,Q1,5.737140272,0162-8828,1939-3539,IEEE (Unified),0.0664,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;ENGINEERING, ELECTRICAL & ELECTRONIC",25.651,2/276,IEEE COMPUTER SOC
NATURE CHEMISTRY,138,24.274,Q1,6.396987206,1755-4330,1755-4349,Springer Nature (Unified),0.059,"CHEMISTRY, MULTIDISCIPLINARY",25.943,8/179,NATURE PORTFOLIO
EUROPEAN UROLOGY,139,24.267,Q1,2.45389922,0302-2838,1873-7560,Elsevier (Unified),0.0532,UROLOGY & NEPHROLOGY,21.729,2/90,ELSEVIER
NATURE HUMAN BEHAVIOUR,140,24.252,Q1,3.560474672,2397-3374,2397-3374,Springer Nature (Unified),0.0419,"MULTIDISCIPLINARY SCIENCES;NEUROSCIENCES;PSYCHOLOGY, EXPERIMENTAL",23.411,4/274,NATURE PORTFOLIO
ACS ENERGY LETTERS,141,23.991,Q1,3.233120506,2380-8195,2380-8195,,0.0847,"CHEMISTRY, PHYSICAL;ELECTROCHEMISTRY;ENERGY & FUELS;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",24.052,4/109,AMER CHEMICAL SOC
ADVANCES IN PHYSICS,142,23.75,Q1,1.186061111,0001-8732,1460-6976,Taylor & Francis (Unified),0.0027,"PHYSICS, CONDENSED MATTER",31.727,5/69,TAYLOR & FRANCIS LTD
NANO-MICRO LETTERS,143,23.655,Q1,3.418123307,2311-6706,2150-5551,,0.0128,"MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY;PHYSICS, APPLIED",19.837,13/345,SHANGHAI JIAO TONG UNIV PRESS
CIRCULATION RESEARCH,144,23.213,Q1,1.714761951,0009-7330,1524-4571,Lippincott Williams & Wilkins (Unified),0.066,CARDIAC & CARDIOVASCULAR SYSTEMS;HEMATOLOGY;PERIPHERAL VASCULAR DISEASE,25.228,2/67,LIPPINCOTT WILLIAMS & WILKINS
NATIONAL SCIENCE REVIEW,145,23.178,Q1,2.597939535,2095-5138,2053-714X,Oxford University Press (Unified),0.0196,MULTIDISCIPLINARY SCIENCES,23.92,4/73,OXFORD UNIV PRESS
NATURE CANCER,146,23.177,Q1,3.247316879,n/a,2662-1347,Springer Nature (Unified),0.0082,ONCOLOGY,23.19,11/245,NATURE PORTFOLIO
JOURNAL OF HEMATOLOGY & ONCOLOGY,147,23.168,Q1,2.954816865,1756-8722,1756-8722,Springer Nature (Unified),0.0221,HEMATOLOGY;ONCOLOGY,17.52,4/78,BMC
PSYCHOLOGICAL BULLETIN,148,23.027,Q1,5.909162273,0033-2909,1939-1455,Amer Psychological Assoc (Unified),0.0207,"PSYCHOLOGY;PSYCHOLOGY, MULTIDISCIPLINARY",31.548,3/147,AMER PSYCHOLOGICAL ASSOC
DRUG RESISTANCE UPDATES,149,22.841,Q1,2.606794118,1368-7646,1532-2084,Elsevier (Unified),0.0036,PHARMACOLOGY & PHARMACY,21.679,2/279,CHURCHILL LIVINGSTONE
TRENDS IN CHEMISTRY,150,22.448,Q1,1.309410526,n/a,2589-5974,Elsevier (Unified),0.0074,"CHEMISTRY, MULTIDISCIPLINARY",22.448,9/179,ELSEVIER
CELLULAR & MOLECULAR IMMUNOLOGY,151,22.096,Q1,1.98053524,1672-7681,2042-0226,,0.0198,IMMUNOLOGY,17.7,6/161,CHIN SOCIETY IMMUNOLOGY
TRENDS IN PLANT SCIENCE,152,22.012,Q1,2.330474085,1360-1385,1878-4372,Elsevier (Unified),0.0201,PLANT SCIENCES,23.116,2/238,ELSEVIER SCIENCE LONDON
MOLECULAR PLANT,153,21.949,Q1,2.848216498,1674-2052,1752-9867,Elsevier (Unified),0.0234,BIOCHEMISTRY & MOLECULAR BIOLOGY;PLANT SCIENCES,19.617,3/238,CELL PRESS
TRENDS IN BIOTECHNOLOGY,154,21.942,Q1,2.05417541,0167-7799,1879-3096,Elsevier (Unified),0.0159,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,20.864,3/158,ELSEVIER SCIENCE LONDON
CARBON ENERGY,155,21.556,Q1,1.545159016,n/a,2637-9368,Wiley (Unified),0.0018,"CHEMISTRY, PHYSICAL;ENERGY & FUELS;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",21.574,14/345,WILEY
NATURE GEOSCIENCE,156,21.531,Q1,3.6819,1752-0894,1752-0908,Springer Nature (Unified),0.0505,"GEOSCIENCES, MULTIDISCIPLINARY",20.473,2/201,NATURE PORTFOLIO
BEHAVIORAL AND BRAIN SCIENCES,157,21.357,Q1,0.559841519,0140-525X,1469-1825,,0.0082,"BEHAVIORAL SCIENCES;NEUROSCIENCES;PSYCHOLOGY, BIOLOGICAL",24.823,5/274,CAMBRIDGE UNIV PRESS
EUROSURVEILLANCE,158,21.286,Q1,2.852282913,1025-496X,1560-7917,,0.0428,INFECTIOUS DISEASES,13.079,5/94,EUR CENTRE DIS PREVENTION & CONTROL
TRENDS IN CELL BIOLOGY,159,21.167,Q1,1.595090987,0962-8924,1879-3088,Elsevier (Unified),0.0258,CELL BIOLOGY,23.732,11/194,ELSEVIER SCIENCE LONDON
CLINICAL INFECTIOUS DISEASES,160,20.999,Q1,2.106943305,1058-4838,1537-6591,Oxford University Press (Unified),0.1541,IMMUNOLOGY;INFECTIOUS DISEASES;MICROBIOLOGY,15.446,7/161,OXFORD UNIV PRESS INC
ENERGY STORAGE MATERIALS,161,20.831,Q1,2.853240208,2405-8297,2405-8297,Elsevier (Unified),0.0422,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",20.51,15/345,ELSEVIER
JOURNAL OF MEDICAL VIROLOGY,162,20.693,Q1,1.386032165,0146-6615,1096-9071,Wiley (Unified),0.0494,VIROLOGY,12.203,2/37,WILEY
TRENDS IN ECOLOGY & EVOLUTION,163,20.589,Q1,1.875080614,0169-5347,1872-8383,Elsevier (Unified),0.0245,ECOLOGY;EVOLUTIONARY BIOLOGY;GENETICS & HEREDITY,21.005,1/173,ELSEVIER SCIENCE LONDON
SCIENCE BULLETIN,164,20.577,Q1,2.861444494,2095-9273,2095-9281,Elsevier (Unified),0.0214,MULTIDISCIPLINARY SCIENCES,12.624,5/73,ELSEVIER
TRAVEL MEDICINE AND INFECTIOUS DISEASE,165,20.441,Q1,1.324979815,1477-8939,1873-0442,Elsevier (Unified),0.0099,"INFECTIOUS DISEASES;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",12.821,9/210,ELSEVIER SCI LTD
NATURE FOOD,166,20.43,Q1,5.491839168,n/a,2662-1355,Springer Nature (Unified),0.0039,FOOD SCIENCE & TECHNOLOGY,20.443,1/143,NATURE PORTFOLIO
LIGHT-SCIENCE & APPLICATIONS,167,20.257,Q1,4.598210451,2047-7538,2047-7538,Springer Nature (Unified),0.0284,OPTICS,18.506,3/101,SPRINGERNATURE
JOURNAL OF THORACIC ONCOLOGY,168,20.121,Q1,1.798251978,1556-0864,1556-1380,Elsevier (Unified),0.04,ONCOLOGY;RESPIRATORY SYSTEM,16.919,13/245,ELSEVIER SCIENCE INC
MATTER,169,19.967,Q1,1.859006444,2590-2393,2590-2385,Elsevier (Unified),0.0132,"MATERIALS SCIENCE, MULTIDISCIPLINARY",19.98,16/345,ELSEVIER
ADVANCED FUNCTIONAL MATERIALS,170,19.924,Q1,2.681066539,1616-301X,1616-3028,Wiley (Unified),0.2306,"CHEMISTRY, MULTIDISCIPLINARY;CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY;PHYSICS, APPLIED;PHYSICS, CONDENSED MATTER",19.978,8/161,WILEY-V C H VERLAG GMBH
NATURE METABOLISM,171,19.865,Q1,3.208826044,n/a,2522-5812,Springer Nature (Unified),0.0141,ENDOCRINOLOGY & METABOLISM,19.95,5/146,NATURE PORTFOLIO
PHOTONIX,172,19.818,Q1,2.875691111,n/a,2662-1991,Springer Nature (Unified),9.00E-04,OPTICS,19.818,4/101,SPRINGERNATURE
TRENDS IN IMMUNOLOGY,173,19.709,Q1,1.727430534,1471-4906,1471-4981,Elsevier (Unified),0.0213,IMMUNOLOGY,21.099,8/161,ELSEVIER SCI LTD
PROGRESS IN RETINAL AND EYE RESEARCH,174,19.704,Q1,4.956357826,1350-9462,1873-1635,Elsevier (Unified),0.0108,OPHTHALMOLOGY,23.462,1/61,PERGAMON-ELSEVIER SCIENCE LTD
NATURE PHYSICS,175,19.684,Q1,3.403739044,1745-2473,1745-2481,Springer Nature (Unified),0.0914,"PHYSICS, MULTIDISCIPLINARY",22.019,4/86,NATURE PORTFOLIO
EMERGING MICROBES & INFECTIONS,176,19.568,Q1,2.38517551,2222-1751,2222-1751,Taylor & Francis (Unified),0.0253,IMMUNOLOGY;INFECTIOUS DISEASES;MICROBIOLOGY,14.211,7/136,TAYLOR & FRANCIS LTD
APPLIED PHYSICS REVIEWS,177,19.527,Q1,1.324525558,1931-9401,1931-9401,,0.0129,"PHYSICS, APPLIED",20.56,9/161,AIP Publishing
JOURNAL OF CLINICAL INVESTIGATION,178,19.456,Q1,3.447579897,0021-9738,1558-8238,,0.1136,"MEDICINE, RESEARCH & EXPERIMENTAL",19.236,2/139,AMER SOC CLINICAL INVESTIGATION INC
CRITICAL CARE,179,19.334,Q1,1.757273718,1364-8535,1466-609X,Springer Nature (Unified),0.0498,CRITICAL CARE MEDICINE,14.083,4/35,BMC
MOLECULAR CELL,180,19.328,Q1,2.60214,1097-2765,1097-4164,Elsevier (Unified),0.1394,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,20.747,7/296,CELL PRESS
SCIENCE TRANSLATIONAL MEDICINE,181,19.319,Q1,3.738395336,1946-6234,1946-6242,,0.0914,"CELL BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",22.18,3/139,AMER ASSOC ADVANCEMENT SCIENCE
AMERICAN JOURNAL OF PSYCHIATRY,182,19.242,Q1,2.180823404,0002-953X,1535-7228,,0.0287,PSYCHIATRY,19.592,5/155,"AMER PSYCHIATRIC PUBLISHING, INC"
ACADEMY OF MANAGEMENT ANNALS,183,19.241,Q1,4.7595752,1941-6520,1941-6067,,0.0148,BUSINESS;MANAGEMENT,27.258,1/226,ACAD MANAGEMENT
BRAIN BEHAVIOR AND IMMUNITY,184,19.227,Q1,2.400331863,0889-1591,1090-2139,Elsevier (Unified),0.039,IMMUNOLOGY;NEUROSCIENCES;PSYCHIATRY,13.731,6/274,ACADEMIC PRESS INC ELSEVIER SCIENCE
TRENDS IN CANCER,185,19.161,Q1,2.271460196,2405-8025,2405-8033,Elsevier (Unified),0.014,ONCOLOGY,19.067,14/245,CELL PRESS
NUCLEIC ACIDS RESEARCH,186,19.16,Q1,3.203283376,0305-1048,1362-4962,Oxford University Press (Unified),0.3376,BIOCHEMISTRY & MOLECULAR BIOLOGY,17.21,8/296,OXFORD UNIV PRESS
IEEE TRANSACTIONS ON CYBERNETICS,187,19.118,Q1,2.659003507,2168-2267,2168-2275,IEEE (Unified),0.0563,"AUTOMATION & CONTROL SYSTEMS;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;COMPUTER SCIENCE, CYBERNETICS",15.981,1/65,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
NATURE ECOLOGY & EVOLUTION,188,19.1,Q1,2.858808932,2397-334X,2397-334X,Springer Nature (Unified),0.0515,ECOLOGY;EVOLUTIONARY BIOLOGY,18.622,2/173,NATURE PORTFOLIO
NANO ENERGY,189,19.069,Q1,2.933243684,2211-2855,2211-3282,Elsevier (Unified),0.1243,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY;PHYSICS, APPLIED",18.984,18/345,ELSEVIER
QUARTERLY JOURNAL OF ECONOMICS,190,19.013,Q1,6.188039056,0033-5533,1531-4650,Oxford University Press (Unified),0.0622,ECONOMICS,27.285,1/379,OXFORD UNIV PRESS INC
KIDNEY INTERNATIONAL,191,18.998,Q1,3.622473536,0085-2538,1523-1755,Elsevier (Unified),0.0429,UROLOGY & NEPHROLOGY,14.318,3/90,ELSEVIER SCIENCE INC
NANO TODAY,192,18.962,Q1,1.511712108,1748-0132,1878-044X,Elsevier (Unified),0.0104,"CHEMISTRY, MULTIDISCIPLINARY;MATERIALS SCIENCE, MULTIDISCIPLINARY;MULTIDISCIPLINARY SCIENCES;NANOSCIENCE & NANOTECHNOLOGY",20.24,19/345,ELSEVIER SCI LTD
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,193,18.958,Q1,5.900026933,0268-4012,1873-4707,Elsevier (Unified),0.016,INFORMATION SCIENCE & LIBRARY SCIENCE,16.58,1/84,ELSEVIER SCI LTD
PHARMACOLOGICAL REVIEWS,194,18.923,Q1,2.938637857,0031-6997,1521-0081,,0.0072,PHARMACOLOGY & PHARMACY,26.876,3/279,AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS
MOLECULAR NEURODEGENERATION,195,18.879,Q1,2.619820556,1750-1326,1750-1326,Springer Nature (Unified),0.0121,NEUROSCIENCES,15.024,7/274,BMC
ACS CENTRAL SCIENCE,196,18.728,Q1,2.340149423,2374-7943,2374-7951,,0.0372,"CHEMISTRY, MULTIDISCIPLINARY",18.367,12/179,AMER CHEMICAL SOC
NEURON,197,18.688,Q1,3.103890772,0896-6273,1097-4199,Elsevier (Unified),0.1502,NEUROSCIENCES,20.305,8/274,CELL PRESS
BRITISH JOURNAL OF SPORTS MEDICINE,198,18.473,Q1,2.857059191,0306-3674,1473-0480,,0.0409,SPORT SCIENCES,18.708,1/87,BMJ PUBLISHING GROUP
NATURE STRUCTURAL & MOLECULAR BIOLOGY,199,18.361,Q1,2.449940229,1545-9993,1545-9985,Springer Nature (Unified),0.0469,BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOPHYSICS;CELL BIOLOGY,15.858,2/72,NATURE PORTFOLIO
TRENDS IN MICROBIOLOGY,200,18.23,Q1,1.654619745,0966-842X,1878-4380,Elsevier (Unified),0.0202,BIOCHEMISTRY & MOLECULAR BIOLOGY;MICROBIOLOGY,21.047,10/296,ELSEVIER SCI LTD
ACS NANO,201,18.027,Q1,2.586842233,1936-0851,1936-086X,,0.2294,"CHEMISTRY, MULTIDISCIPLINARY;CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",18.022,20/345,AMER CHEMICAL SOC
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,202,18,Q1,0.887425376,0141-0768,1758-1095,Sage (Unified),0.003,"MEDICINE, GENERAL & INTERNAL",8.852,11/172,SAGE PUBLICATIONS LTD
GENOME BIOLOGY,203,17.906,Q1,3.074151854,1474-760X,1474-760X,Springer Nature (Unified),0.0988,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;GENETICS & HEREDITY,20.367,4/175,BMC
ADVANCED DRUG DELIVERY REVIEWS,204,17.873,Q1,2.288028586,0169-409X,1872-8294,Elsevier (Unified),0.025,PHARMACOLOGY & PHARMACY,21.653,4/279,ELSEVIER
REPORTS ON PROGRESS IN PHYSICS,205,17.802,Q1,1.879452055,0034-4885,1361-6633,,0.0235,"PHYSICS, MULTIDISCIPLINARY",20.389,5/86,IOP Publishing Ltd
NATURE COMMUNICATIONS,206,17.694,Q1,3.131100263,2041-1723,2041-1723,Springer Nature (Unified),1.2969,MULTIDISCIPLINARY SCIENCES,17.763,6/73,NATURE PORTFOLIO
BIOTECHNOLOGY ADVANCES,207,17.681,Q1,1.537609639,0734-9750,1873-1899,Elsevier (Unified),0.0147,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,18.248,5/158,PERGAMON-ELSEVIER SCIENCE LTD
CYTOKINE & GROWTH FACTOR REVIEWS,208,17.66,Q1,1.180046154,1359-6101,1879-0305,Elsevier (Unified),0.0063,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,12.32,11/296,ELSEVIER SCI LTD
TRENDS IN PHARMACOLOGICAL SCIENCES,209,17.638,Q1,2.268995706,0165-6147,1873-3735,Elsevier (Unified),0.0136,PHARMACOLOGY & PHARMACY,17.123,5/279,ELSEVIER SCIENCE LONDON
JOURNAL OF EXPERIMENTAL MEDICINE,210,17.579,Q1,3.060772762,0022-1007,1540-9538,,0.0591,"IMMUNOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",16.424,4/139,ROCKEFELLER UNIV PRESS
INFORMATION FUSION,211,17.564,Q1,4.006177732,1566-2535,1872-6305,Elsevier (Unified),0.0168,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;COMPUTER SCIENCE, THEORY & METHODS",16.58,1/109,ELSEVIER
ADVANCED SCIENCE,212,17.521,Q1,2.147516335,2198-3844,2198-3844,Wiley (Unified),0.0682,"CHEMISTRY, MULTIDISCIPLINARY;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",18.939,21/345,WILEY
AUTOIMMUNITY REVIEWS,213,17.39,Q1,1.26850615,1568-9972,1873-0183,Elsevier (Unified),0.0168,IMMUNOLOGY,11.769,12/161,ELSEVIER
NATURE PLANTS,214,17.352,Q1,2.829426628,2055-026X,2055-0278,Springer Nature (Unified),0.0322,PLANT SCIENCES,19.328,4/238,NATURE PORTFOLIO
EUROPEAN JOURNAL OF HEART FAILURE,215,17.349,Q1,0.688633066,1388-9842,1879-0844,Wiley (Unified),0.0352,CARDIAC & CARDIOVASCULAR SYSTEMS,15.072,7/143,WILEY
JOURNAL OF EXTRACELLULAR VESICLES,216,17.337,Q1,2.492693216,2001-3078,2001-3078,Wiley (Unified),0.0113,CELL BIOLOGY,22.603,16/194,WILEY
HEPATOLOGY,217,17.298,Q1,1.302676394,0270-9139,1527-3350,Wiley (Unified),0.0818,GASTROENTEROLOGY & HEPATOLOGY,19.409,6/93,WILEY
HUMAN REPRODUCTION UPDATE,218,17.179,Q1,3.309896512,1355-4786,1460-2369,Oxford University Press (Unified),0.0101,OBSTETRICS & GYNECOLOGY;REPRODUCTIVE BIOLOGY,19.417,1/85,OXFORD UNIV PRESS
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,219,17.176,Q1,0.8086,1389-5567,1873-2739,Elsevier (Unified),0.0021,"CHEMISTRY, PHYSICAL",15.663,13/163,ELSEVIER
DIABETES CARE,220,17.152,Q1,3.433934525,0149-5992,1935-5548,,0.0851,ENDOCRINOLOGY & METABOLISM,17.242,6/146,AMER DIABETES ASSOC
ECLINICALMEDICINE,221,17.033,Q1,1.976250373,n/a,2589-5370,Elsevier (Unified),0.021,"MEDICINE, GENERAL & INTERNAL",16.564,12/172,ELSEVIER
NATURE PROTOCOLS,222,17.021,Q1,3.773709851,1754-2189,1750-2799,Springer Nature (Unified),0.0544,BIOCHEMICAL RESEARCH METHODS,18.942,2/79,NATURE PORTFOLIO
SEMINARS IN CANCER BIOLOGY,223,17.012,Q1,2.36175,1044-579X,1096-3650,Elsevier (Unified),0.0122,ONCOLOGY,15.734,15/245,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
CELL REPORTS MEDICINE,224,16.988,Q1,2.62468918,2666-3791,2666-3791,Elsevier (Unified),0.0052,"CELL BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",16.988,5/139,ELSEVIER
TRENDS IN NEUROSCIENCES,225,16.978,Q1,1.928459514,0166-2236,1878-108X,Elsevier (Unified),0.0178,NEUROSCIENCES,17.35,9/274,ELSEVIER SCIENCE LONDON
BIOACTIVE MATERIALS,226,16.874,Q1,3.43322648,n/a,2452-199X,,0.0048,"ENGINEERING, BIOMEDICAL;MATERIALS SCIENCE, BIOMATERIALS",17.363,1/44,KEAI PUBLISHING LTD
CANADIAN MEDICAL ASSOCIATION JOURNAL,227,16.859,Q1,1.010631741,0820-3946,1488-2329,,0.0185,"MEDICINE, GENERAL & INTERNAL",14.14,13/172,CMA-CANADIAN MEDICAL ASSOC
MICROBIOME,228,16.837,Q1,3.124879051,2049-2618,2049-2618,Springer Nature (Unified),0.0326,MICROBIOLOGY,19.813,9/136,BMC
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,229,16.823,Q1,2.471014281,1433-7851,1521-3773,Wiley (Unified),0.4707,"CHEMISTRY, MULTIDISCIPLINARY",15.311,15/179,WILEY-V C H VERLAG GMBH
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,230,16.799,Q1,1.384890351,1364-0321,1879-0690,Elsevier (Unified),0.1327,ENERGY & FUELS;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,17.551,1/47,PERGAMON-ELSEVIER SCIENCE LTD
CHEMICAL ENGINEERING JOURNAL,231,16.744,Q1,2.008316093,1385-8947,1873-3212,Elsevier (Unified),0.1996,"ENGINEERING, CHEMICAL;ENGINEERING, ENVIRONMENTAL",14.61,4/142,ELSEVIER SCIENCE SA
JAMA SURGERY,232,16.681,Q1,3.193597612,2168-6254,2168-6262,,0.0369,SURGERY,17.488,1/211,AMER MEDICAL ASSOC
ALZHEIMERS & DEMENTIA,233,16.655,Q1,3.623063848,1552-5260,1552-5279,Wiley (Unified),0.0397,CLINICAL NEUROLOGY,20.298,4/212,WILEY
MYCOSPHERE,234,16.525,Q1,1.615635,2077-7000,2077-7000,,0.0031,MYCOLOGY,4.728,3/29,MYCOSPHERE PRESS
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,235,16.497,Q1,3.438988043,1089-778X,1941-0026,IEEE (Unified),0.0113,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;COMPUTER SCIENCE, THEORY & METHODS",16.815,2/109,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
CURRENT PROBLEMS IN CARDIOLOGY,236,16.464,Q1,0.842255597,0146-2806,1535-6280,Elsevier (Unified),0.0016,CARDIAC & CARDIOVASCULAR SYSTEMS,9.394,8/143,MOSBY-ELSEVIER
NATURE REVIEWS UROLOGY,237,16.43,Q1,1.590058987,1759-4812,1759-4820,Springer Nature (Unified),0.0087,UROLOGY & NEPHROLOGY,15.584,4/90,NATURE PORTFOLIO
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,238,16.383,Q1,2.631118959,0002-7863,1520-5126,,0.4546,"CHEMISTRY, MULTIDISCIPLINARY",16.289,16/179,AMER CHEMICAL SOC
AMERICAN PSYCHOLOGIST,239,16.358,Q1,3.205689455,0003-066X,1935-990X,Amer Psychological Assoc (Unified),0.0177,"PSYCHOLOGY;PSYCHOLOGY, MULTIDISCIPLINARY",15.445,4/147,AMER PSYCHOLOGICAL ASSOC
MOLECULAR ASPECTS OF MEDICINE,240,16.337,Q1,1.382418315,0098-2997,1872-9452,Elsevier (Unified),0.0062,"BIOCHEMISTRY & MOLECULAR BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",14.278,12/296,ELSEVIER
NATURE CHEMICAL BIOLOGY,241,16.174,Q1,1.926924885,1552-4450,1552-4469,Springer Nature (Unified),0.0446,BIOCHEMISTRY & MOLECULAR BIOLOGY,16.374,13/296,NATURE PORTFOLIO
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,242,16.161,Q1,3.571853333,1088-8683,1532-7957,Sage (Unified),0.0059,"PSYCHOLOGY, SOCIAL",20.446,1/65,SAGE PUBLICATIONS INC
EMERGING INFECTIOUS DISEASES,243,16.126,Q1,1.82321647,1080-6040,1080-6059,,0.0588,IMMUNOLOGY;INFECTIOUS DISEASES,10.717,13/161,CENTERS  DISEASE CONTROL & PREVENTION
LANCET HIV,244,16.07,Q1,1.384482434,2352-3018,2352-3018,Elsevier (Unified),0.0204,IMMUNOLOGY;INFECTIOUS DISEASES,15.492,14/161,ELSEVIER INC
